Timestamp,Computer,Provider,EventID,CommandLine,Embedding,Cluster_DBSCAN,Cluster_KMeans,DBSCANClusterDescription,DBSCANClusterRiskScore
2020-10-05T20:43:58.450239Z,LAPTOP-JU4M3I0E,Microsoft-Windows-Sysmon,1,C:\windows\system32\taskmgr.exe,"[-0.00195287  0.02362708  0.01385625 ...  0.01879562 -0.00512134
 -0.00087778]",0,30,"Execution of adversarial simulation commands including persistence via scheduled tasks, remote script execution using Regsvr32 and CMSTP, and system discovery.",9
2020-10-05T20:43:58.451314Z,LAPTOP-JU4M3I0E,Microsoft-Windows-Sysmon,1,cmd.exe,"[-0.00139309  0.02074693  0.00698827 ...  0.00655472 -0.01028423
  0.01293374]",0,107,"Execution of adversarial simulation commands including persistence via scheduled tasks, remote script execution using Regsvr32 and CMSTP, and system discovery.",9
2019-07-19T14:42:51.446280Z,MSEDGEWIN10,Microsoft-Windows-Sysmon,1,consent.exe 4516 288 0000023C0CA21C70,"[-0.0185498  -0.00265951  0.0042272  ...  0.00970075 -0.00248911
 -0.01306443]",1,174,Execution of the Windows Consent UI (consent.exe) for User Account Control (UAC) elevation requests.,3
2019-07-19T14:42:53.295578Z,MSEDGEWIN10,Microsoft-Windows-Sysmon,1,"""C:\Windows\system32\cmd.exe"" ","[-0.00096679  0.02863689  0.02093461 ...  0.01172661 -0.00812459
  0.00901722]",0,69,"Execution of adversarial simulation commands including persistence via scheduled tasks, remote script execution using Regsvr32 and CMSTP, and system discovery.",9
2019-07-19T14:43:03.303217Z,MSEDGEWIN10,Microsoft-Windows-Sysmon,1,powershell,"[ 0.00400842 -0.01122588  0.0116978  ... -0.00023332  0.00293646
 -0.01148398]",0,170,"Execution of adversarial simulation commands including persistence via scheduled tasks, remote script execution using Regsvr32 and CMSTP, and system discovery.",9
2019-07-19T14:44:08.161838Z,MSEDGEWIN10,Microsoft-Windows-Sysmon,1,"""C:\Windows\system32\cmd.exe"" /c ""sc.exe create AtomicTestService binPath= C:\AtomicRedTeam\atomics\T1050\bin\AtomicService.exe""","[-0.00123363  0.01698563  0.0260118  ...  0.00806667 -0.0108316
 -0.00336519]",0,259,"Execution of adversarial simulation commands including persistence via scheduled tasks, remote script execution using Regsvr32 and CMSTP, and system discovery.",9
2019-07-19T14:44:08.185344Z,MSEDGEWIN10,Microsoft-Windows-Sysmon,1,sc.exe  create AtomicTestService binPath= C:\AtomicRedTeam\atomics\T1050\bin\AtomicService.exe,"[-0.00343305  0.01005639  0.02199087 ...  0.00362011 -0.00963234
 -0.00679669]",0,259,"Execution of adversarial simulation commands including persistence via scheduled tasks, remote script execution using Regsvr32 and CMSTP, and system discovery.",9
2019-07-19T14:44:08.268803Z,MSEDGEWIN10,Microsoft-Windows-Sysmon,1,"""C:\Windows\system32\cmd.exe"" /c ""sc.exe start AtomicTestService""","[-0.00132475  0.0200648   0.02475586 ...  0.01383301 -0.00432903
 -0.00403769]",0,223,"Execution of adversarial simulation commands including persistence via scheduled tasks, remote script execution using Regsvr32 and CMSTP, and system discovery.",9
2019-07-19T14:44:08.288861Z,MSEDGEWIN10,Microsoft-Windows-Sysmon,1,sc.exe  start AtomicTestService,"[-0.00965583  0.01385472  0.01798088 ...  0.00955978 -0.00441703
 -0.00916651]",0,223,"Execution of adversarial simulation commands including persistence via scheduled tasks, remote script execution using Regsvr32 and CMSTP, and system discovery.",9
2019-07-19T14:44:08.307214Z,MSEDGEWIN10,Microsoft-Windows-Sysmon,1,C:\AtomicRedTeam\atomics\T1050\bin\AtomicService.exe,"[ 0.00522027  0.00451135  0.0138241  ...  0.00175645 -0.01131353
 -0.01075101]",0,83,"Execution of adversarial simulation commands including persistence via scheduled tasks, remote script execution using Regsvr32 and CMSTP, and system discovery.",9
2019-07-19T14:44:09.150760Z,MSEDGEWIN10,Microsoft-Windows-Sysmon,1,"""C:\Windows\system32\cmd.exe"" /c ""sc.exe stop AtomicTestService""","[-0.00192461  0.02909756  0.01035148 ...  0.0166183  -0.0047552
  0.00370821]",0,223,"Execution of adversarial simulation commands including persistence via scheduled tasks, remote script execution using Regsvr32 and CMSTP, and system discovery.",9
2019-07-19T14:44:09.176040Z,MSEDGEWIN10,Microsoft-Windows-Sysmon,1,sc.exe  stop AtomicTestService,"[-0.00757212  0.02252527  0.00253417 ...  0.0101     -0.00467555
 -0.0034657 ]",0,36,"Execution of adversarial simulation commands including persistence via scheduled tasks, remote script execution using Regsvr32 and CMSTP, and system discovery.",9
2019-07-19T14:44:09.253714Z,MSEDGEWIN10,Microsoft-Windows-Sysmon,1,"""C:\Windows\system32\cmd.exe"" /c ""sc.exe delete AtomicTestService""","[-0.00952594  0.026584    0.01150691 ...  0.01510362 -0.00331242
  0.00617445]",0,36,"Execution of adversarial simulation commands including persistence via scheduled tasks, remote script execution using Regsvr32 and CMSTP, and system discovery.",9
2019-07-19T14:44:09.278042Z,MSEDGEWIN10,Microsoft-Windows-Sysmon,1,sc.exe  delete AtomicTestService,"[-0.01681714  0.02006479  0.00400651 ...  0.00963934 -0.00276743
 -0.00071584]",0,36,"Execution of adversarial simulation commands including persistence via scheduled tasks, remote script execution using Regsvr32 and CMSTP, and system discovery.",9
2019-07-19T14:44:09.351888Z,MSEDGEWIN10,Microsoft-Windows-Sysmon,1,"""C:\Windows\system32\cmd.exe"" /c ","[ 0.0045406   0.03303525  0.01787363 ...  0.01679745 -0.00458873
  0.00526537]",0,69,"Execution of adversarial simulation commands including persistence via scheduled tasks, remote script execution using Regsvr32 and CMSTP, and system discovery.",9
2019-07-19T14:44:53.219598Z,MSEDGEWIN10,Microsoft-Windows-Sysmon,1,"""C:\Windows\system32\cmd.exe"" /c ""REG ADD "" ""HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run /V Atomic"" Red ""Team /t REG_SZ /F /D C:\Path\AtomicRedTeam.exe""","[-0.00586567  0.01065121  0.03871542 ...  0.0152372   0.00093627
 -0.00549853]",0,46,"Execution of adversarial simulation commands including persistence via scheduled tasks, remote script execution using Regsvr32 and CMSTP, and system discovery.",9
2019-07-19T14:44:53.258049Z,MSEDGEWIN10,Microsoft-Windows-Sysmon,1,"REG  ADD "" ""HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run /V Atomic"" Red ""Team /t REG_SZ /F /D C:\Path\AtomicRedTeam.exe","[-0.01545522  0.00551584  0.03794476 ...  0.01913159  0.00186932
 -0.0077689 ]",0,46,"Execution of adversarial simulation commands including persistence via scheduled tasks, remote script execution using Regsvr32 and CMSTP, and system discovery.",9
2019-07-19T14:44:53.330492Z,MSEDGEWIN10,Microsoft-Windows-Sysmon,1,"""C:\Windows\system32\cmd.exe"" /c ""REG DELETE "" ""HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run /V Atomic"" Red ""Team /f""","[-0.01093896  0.02353143  0.02065048 ...  0.0179591   0.00517895
  0.00112692]",0,240,"Execution of adversarial simulation commands including persistence via scheduled tasks, remote script execution using Regsvr32 and CMSTP, and system discovery.",9
2019-07-19T14:44:53.349171Z,MSEDGEWIN10,Microsoft-Windows-Sysmon,1,"REG  DELETE "" ""HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run /V Atomic"" Red ""Team /f","[-0.0197169   0.01124625  0.00596511 ...  0.01927729  0.00436414
 -0.00508964]",0,240,"Execution of adversarial simulation commands including persistence via scheduled tasks, remote script execution using Regsvr32 and CMSTP, and system discovery.",9
2019-07-19T14:45:06.075725Z,MSEDGEWIN10,Microsoft-Windows-Sysmon,1,"""C:\Windows\system32\cmd.exe"" /c ""REG ADD HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\RunOnceEx\0001\Depend /v 1 /d "" C:\Path\AtomicRedTeam.dll","[-0.00695361  0.00801717  0.02462514 ...  0.01385999 -0.00192012
  0.0087312 ]",0,102,"Execution of adversarial simulation commands including persistence via scheduled tasks, remote script execution using Regsvr32 and CMSTP, and system discovery.",9
2019-07-19T14:45:06.137175Z,MSEDGEWIN10,Microsoft-Windows-Sysmon,1,REG  ADD HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\RunOnceEx\0001\Depend /v 1 /d  C:\Path\AtomicRedTeam.dll,"[-0.00906194  0.00175523  0.02220241 ...  0.01708758  0.00368639
  0.00367883]",0,102,"Execution of adversarial simulation commands including persistence via scheduled tasks, remote script execution using Regsvr32 and CMSTP, and system discovery.",9
2019-07-19T14:45:06.196458Z,MSEDGEWIN10,Microsoft-Windows-Sysmon,1,"""C:\Windows\system32\cmd.exe"" /c ""REG DELETE HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\RunOnceEx\0001\Depend /v 1 /f""","[-0.01334573  0.02179593  0.01513122 ...  0.01775988 -0.0006304
  0.01658548]",0,114,"Execution of adversarial simulation commands including persistence via scheduled tasks, remote script execution using Regsvr32 and CMSTP, and system discovery.",9
2019-07-19T14:45:06.213488Z,MSEDGEWIN10,Microsoft-Windows-Sysmon,1,REG  DELETE HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\RunOnceEx\0001\Depend /v 1 /f,"[-0.02182056  0.01261673  0.00201609 ...  0.01925282 -0.00133037
  0.0111262 ]",0,114,"Execution of adversarial simulation commands including persistence via scheduled tasks, remote script execution using Regsvr32 and CMSTP, and system discovery.",9
2019-07-19T14:45:55.034352Z,MSEDGEWIN10,Microsoft-Windows-Sysmon,1,"""C:\Windows\system32\cmd.exe"" /c ""C:\Windows\Microsoft.NET\Framework\v4.0.30319\csc.exe /r:System.EnterpriseServices.dll /target:library C:\AtomicRedTeam\atomics\T1121\src\T1121.cs""","[-0.00456052  0.00611441  0.02166736 ...  0.00056251 -0.00826157
  0.01829371]",2,131,"Compilation of C# source code using the native .NET csc.exe tool to target System.EnterpriseServices, specifically associated with MITRE ATT&CK technique T1121 (Regsvcs/Regasm) for defense evasion.",8
2019-07-19T14:45:55.105804Z,MSEDGEWIN10,Microsoft-Windows-Sysmon,1,C:\Windows\Microsoft.NET\Framework\v4.0.30319\csc.exe  /r:System.EnterpriseServices.dll /target:library C:\AtomicRedTeam\atomics\T1121\src\T1121.cs,"[-0.00487108 -0.00147432  0.01698642 ...  0.00333145 -0.00401315
  0.01731657]",2,131,"Compilation of C# source code using the native .NET csc.exe tool to target System.EnterpriseServices, specifically associated with MITRE ATT&CK technique T1121 (Regsvcs/Regasm) for defense evasion.",8
2019-07-19T14:45:55.621447Z,MSEDGEWIN10,Microsoft-Windows-Sysmon,1,"C:\Windows\Microsoft.NET\Framework\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\Users\IEUser\AppData\Local\Temp\RESBED6.tmp"" ""c:\AtomicRedTeam\CSC5779B24A646D409A951966A058ABC4E3.TMP""","[ 0.00445475  0.01709907  0.01765176 ...  0.01303894 -0.00244284
 -0.0005263 ]",3,124,"Execution of .NET Resource to Object Converter (cvtres.exe) for resource compilation, specifically targeting files within an Atomic Red Team simulation directory.",6
