Timestamp,Computer,Provider,EventID,CommandLine,Embedding,Cluster_DBSCAN,Cluster_KMeans,DBSCANClusterDescription,DBSCANClusterRiskScore
2020-10-05T20:43:58.450239Z,LAPTOP-JU4M3I0E,Microsoft-Windows-Sysmon,1,C:\windows\system32\taskmgr.exe,"[ 0.00608905 -0.00705376 -0.00149934 ...  0.01009461  0.00146174
 -0.00108576]",-1,137,Unclustered commands,0
2020-10-05T20:43:58.451314Z,LAPTOP-JU4M3I0E,Microsoft-Windows-Sysmon,1,cmd.exe,"[-0.03623876 -0.00778045  0.00174487 ... -0.00477869 -0.00537749
 -0.00804096]",205,72,This cluster contains commands related to the Windows Command Prompt (cmd.exe) with minimal variations and no suspicious parameters. The commands executed suggest basic usage of the command line interface.,2
2019-07-19T14:42:51.446280Z,MSEDGEWIN10,Microsoft-Windows-Sysmon,1,consent.exe 4516 288 0000023C0CA21C70,"[ 0.00262654 -0.0229817  -0.00279761 ... -0.00454794 -0.00356533
 -0.04422766]",0,4,"This cluster consists of multiple executions of 'consent.exe', which is associated with User Account Control (UAC) in Windows. The repetitive nature of this process may indicate an attempt to bypass or manipulate consent prompts, potentially leading to unauthorized privilege escalation or exploitation.",7
2019-07-19T14:42:53.295578Z,MSEDGEWIN10,Microsoft-Windows-Sysmon,1,"""C:\Windows\system32\cmd.exe"" ","[-0.02777933 -0.00187432 -0.00498622 ...  0.00354954  0.00868104
 -0.01597024]",1,57,"This cluster consists of multiple executions of the Windows Command Prompt (cmd.exe) with various cases of file path formatting. The commands do not execute any additional parameters, which might suggest they are either just opening a command line interface or not executing any potentially harmful commands.",2
2019-07-19T14:43:03.303217Z,MSEDGEWIN10,Microsoft-Windows-Sysmon,1,powershell,"[-0.0154135   0.0183071   0.0021539  ... -0.00545301  0.00347232
 -0.00215186]",2,110,"Commands related to executing PowerShell, a powerful scripting language commonly used for automation and administrative tasks on Windows systems.",6
2019-07-19T14:44:08.161838Z,MSEDGEWIN10,Microsoft-Windows-Sysmon,1,"""C:\Windows\system32\cmd.exe"" /c ""sc.exe create AtomicTestService binPath= C:\AtomicRedTeam\atomics\T1050\bin\AtomicService.exe""","[-0.00670521 -0.01111798 -0.00195856 ...  0.02134102  0.00176236
 -0.01438798]",134,26,"Commands related to creating a service on the system, typically indicative of potential persistence mechanisms used by malicious actors.",7
2019-07-19T14:44:08.185344Z,MSEDGEWIN10,Microsoft-Windows-Sysmon,1,sc.exe  create AtomicTestService binPath= C:\AtomicRedTeam\atomics\T1050\bin\AtomicService.exe,"[ 0.02107562 -0.01927512  0.00158678 ...  0.02127103 -0.00579929
 -0.02891967]",134,26,"Commands related to creating a service on the system, typically indicative of potential persistence mechanisms used by malicious actors.",7
2019-07-19T14:44:08.268803Z,MSEDGEWIN10,Microsoft-Windows-Sysmon,1,"""C:\Windows\system32\cmd.exe"" /c ""sc.exe start AtomicTestService""","[-0.01315091 -0.00490194 -0.00095288 ...  0.03049219  0.00314937
 -0.01129951]",3,26,"Commands related to managing a service named AtomicTestService, including starting, stopping, and deleting the service which could indicate potential misuse or administrative changes.",6
2019-07-19T14:44:08.288861Z,MSEDGEWIN10,Microsoft-Windows-Sysmon,1,sc.exe  start AtomicTestService,"[ 0.01000629 -0.01499882  0.01344086 ...  0.03132897  0.00226965
 -0.01960185]",4,26,"This cluster consists of commands that manage a Windows service named 'AtomicTestService'. These commands include starting, stopping, and deleting the service, which can have implications for system stability and security.",6
2019-07-19T14:44:08.307214Z,MSEDGEWIN10,Microsoft-Windows-Sysmon,1,C:\AtomicRedTeam\atomics\T1050\bin\AtomicService.exe,"[-0.02064822 -0.0263093   0.00134778 ...  0.01658239 -0.0093097
 -0.02534398]",-1,26,Unclustered commands,0
